RCLNT;RLDNR;RBUKRS;GJAHR;BELNR;DOCLN;RYEAR;DOCNR_LD;RRCTY;RMVCT;VORGN;VRGNG;BTTYPE;CBTTYPE;CLOSINGSTEP;AWTYP;AWSYS;AWORG;AWREF;AWITEM;AWITGRP;SUBTA;XREVERSING;XREVERSED;XTRUEREV;AWTYP_REV;AWORG_REV;AWREF_REV;AWITEM_REV;SUBTA_REV;XSETTLING;XSETTLED;PREC_AWTYP;PREC_AWSYS;PREC_AWORG;PREC_AWREF;PREC_AWITEM;PREC_SUBTA;PREC_AWMULT;PREC_BUKRS;PREC_GJAHR;PREC_BELNR;PREC_DOCLN;XSECONDARY;CLOSING_RUN_ID;ORGL_CHANGE;SRC_AWTYP;SRC_AWSYS;SRC_AWORG;SRC_AWREF;SRC_AWITEM;SRC_AWSUBIT;XCOMMITMENT;OBS_REASON;RTCUR;RWCUR;RHCUR;RKCUR;RFCCUR;ROCUR;RVCUR;RBCUR;RCCUR;RDCUR;RECUR;RFCUR;RGCUR;RCO_OCUR;RGM_OCUR;RUNIT;RVUNIT;RRUNIT;RMSL_TYPE;RIUNIT;QUNIT1;QUNIT2;QUNIT3;CO_MEINH;RACCT;RCNTR;PRCTR;RFAREA;RBUSA;KOKRS;SEGMENT;SCNTR;PPRCTR;SFAREA;SBUSA;RASSC;PSEGMENT;TSL;WSL;WSL2;WSL3;HSL;KSL;FCSL;OSL;VSL;BSL;CSL;DSL;ESL;FSL;GSL;KFSL;KFSL2;KFSL3;PSL;PSL2;PSL3;PFSL;PFSL2;PFSL3;CO_OSL;GM_OSL;HSLALT;KSLALT;OSLALT;VSLALT;BSLALT;CSLALT;DSLALT;ESLALT;FSLALT;GSLALT;HSLEXT;KSLEXT;OSLEXT;VSLEXT;BSLEXT;CSLEXT;DSLEXT;ESLEXT;FSLEXT;GSLEXT;HVKWRT;MSL;MFSL;VMSL;VMFSL;RMSL;QUANT1;QUANT2;QUANT3;CO_MEGBTR;CO_MEFBTR;HSALK3;KSALK3;OSALK3;VSALK3;HSALKV;KSALKV;OSALKV;VSALKV;HPVPRS;KPVPRS;OPVPRS;VPVPRS;HSTPRS;KSTPRS;OSTPRS;VSTPRS;HVKSAL;LBKUM;DRCRK;POPER;PERIV;FISCYEARPER;BUDAT;BLDAT;BLART;BUZEI;ZUONR;BSCHL;BSTAT;LINETYPE;KTOSL;SLALITTYPE;XSPLITMOD;USNAM;TIMESTAMP;EPRCTR;RHOART;GLACCOUNT_TYPE;KTOPL;LOKKT;KTOP2;RBUNIT;RBUPTR;RCOMP;RITCLG;RITEM;SITYP;SUBIT;REBZG;REBZJ;REBZZ;REBZT;RBEST;EBELN_LOGSYS;EBELN;EBELP;ZEKKN;SGTXT;KDAUF;KDPOS;MATNR;WERKS;LIFNR;KUNNR;FBUDA;PEROP_BEG;PEROP_END;COCO_NUM;WWERT;PRCTR_DRVTN_SOURCE_TYPE;KOART;UMSKZ;TAX_COUNTRY;MWSKZ;HBKID;HKTID;VALUT;XOPVW;AUGDT;AUGBL;AUGGJ;AFABE;ANLN1;ANLN2;BZDAT;ANBWA;MOVCAT;DEPR_PERIOD;ANLGR;ANLGR2;SETTLEMENT_RULE;ANLKL;KTOGR;PANL1;PANL2;ANLN2_PN;BWASL_PN;BZDAT_PN;UBZDT_PN;XVABG_PN;ANBTR_PN;PROZS_PN;XMANPROPVAL_PN;KALNR;VPRSV;MLAST;KZBWS;XOBEW;SOBKZ;VTSTAMP;MAT_KDAUF;MAT_KDPOS;MAT_PSPNR;MAT_PS_POSID;MAT_LIFNR;BWTAR;BWKEY;HPEINH;KPEINH;OPEINH;VPEINH;MLPTYP;MLCATEG;QSBVALT;QSPROCESS;PERART;MLPOSNR;INV_MOV_CATEG;BUKRS_SENDER;RACCT_SENDER;ACCAS_SENDER;ACCASTY_SENDER;OBJNR;HRKFT;HKGRP;PAROB1;PAROBSRC;USPOB;CO_BELKZ;CO_BEKNZ;BELTP;MUVFLG;GKONT;GKOAR;ERLKZ;PERNR;PAOBJNR;XPAOBJNR_CO_REL;SCOPE;LOGSYSO;PBUKRS;PSCOPE;LOGSYSP;BWSTRAT;OBJNR_HK;AUFNR_ORG;UKOSTL;ULSTAR;UPRZNR;UPRCTR;UMATNR;VARC_UACCT;ACCAS;ACCASTY;LSTAR;AUFNR;AUTYP;PS_PSP_PNR;PS_POSID;PS_PRJ_PNR;PS_PSPID;NPLNR;NPLNR_VORGN;PRZNR;KSTRG;BEMOT;RSRCE;QMNUM;SERVICE_DOC_TYPE;SERVICE_DOC_ID;SERVICE_DOC_ITEM_ID;SERVICE_CONTRACT_TYPE;SERVICE_CONTRACT_ID;SERVICE_CONTRACT_ITEM_ID;SOLUTION_ORDER_ID;SOLUTION_ORDER_ITEM_ID;VTKEY;VTPOS;RA_CONTRACT_ID;RA_POB_ID;ERKRS;PACCAS;PACCASTY;PLSTAR;PAUFNR;PAUTYP;PPS_PSP_PNR;PPS_POSID;PPS_PRJ_PNR;PPS_PSPID;PKDAUF;PKDPOS;PPAOBJNR;PNPLNR;PNPLNR_VORGN;PPRZNR;PKSTRG;PSERVICE_DOC_TYPE;PSERVICE_DOC_ID;PSERVICE_DOC_ITEM_ID;CO_ACCASTY_N1;CO_ACCASTY_N2;CO_ACCASTY_N3;CO_ZLENR;CO_BELNR;CO_BUZEI;CO_BUZEI1;CO_BUZEI2;CO_BUZEI5;CO_BUZEI6;CO_BUZEI7;CO_REFBZ;CO_REFBZ1;CO_REFBZ2;CO_REFBZ5;CO_REFBZ6;CO_REFBZ7;OVERTIMECAT;WORK_ITEM_ID;ARBID;VORNR;AUFPS;UVORN;EQUNR;TPLNR;ISTRU;ILART;PLKNZ;ARTPR;PRIOK;MAUFNR;MATKL_MM;PAUFPS;PLANNED_PARTS_WORK;FKART;VKORG;VTWEG;SPART;MATNR_COPA;MATKL;KDGRP;LAND1;BRSCH;BZIRK;KUNRE;KUNWE;KONZS;ACDOC_COPA_EEW_DUMMY_PA;VKBUR_PA;VKGRP_PA;OIFPBL_PA;OIFWE_PA;KUNRG_PA;VRTNR_PA;WWMOT_PA;BRAN1_PA;WWKOK_PA;WWLBR_PA;WWLBV_PA;WWLCL_PA;WWLCW_PA;WWLGC_PA;WWLIF_PA;WWLOB_PA;WWLOF_PA;WWLOS_PA;WWLP1_PA;WWLP2_PA;WWLSC_PA;WWLST_PA;WWLTY_PA;WWREB_PA;KVGR1_PA;MVGR2_PA;WWUSG_PA;WWCUC_PA;WWPRO_PA;KMLAND_PA;REGIO_PA;WWRZI_PA;WWRZN_PA;WWRZX_PA;WWPH1_PA;WWPH2_PA;WWPH3_PA;WWPH4_PA;WWPH5_PA;KMHI01_PA;OIDRC_PA;WWBUN_PA;WWO01_PA;WWO02_PA;WWO04_PA;WWO05_PA;WWO06_PA;WWO07_PA;WWO08_PA;WWO09_PA;WWO10_PA;DUMMY_MRKT_SGMNT_EEW_PS;RE_BUKRS;RE_ACCOUNT;FIKRS;FIPEX;FISTL;MEASURE;RFUND;RGRANT_NBR;RBUDGET_PD;SFUND;SGRANT_NBR;SBUDGET_PD;BDGT_ACCOUNT;BDGT_ACCOUNT_COCODE;BDGT_CNSMPN_DATE;BDGT_CNSMPN_PERIOD;BDGT_CNSMPN_YEAR;BDGT_RELEVANT;BDGT_CNSMPN_TYPE;BDGT_CNSMPN_AMOUNT_TYPE;RSPONSORED_PROG;RSPONSORED_CLASS;RBDGT_VLDTY_NBR;KBLNR;KBLPOS;VNAME;EGRUP;RECID;VPTNR;BTYPE;ETYPE;PRODPER;BILLM;POM;CBRUNID;JVACTIVITY;PVNAME;PEGRUP;S_RECIND;CBRACCT;CBOBJNR;SWENR;SGENR;SGRNR;SMENR;RECNNR;SNKSL;SEMPSL;DABRZ;PSWENR;PSGENR;PSGRNR;PSMENR;PRECNNR;PSNKSL;PSEMPSL;PDABRZ;ACROBJTYPE;ACRLOGSYS;ACROBJ_ID;ACRSOBJ_ID;ACRITMTYPE;ACRREFOBJ_ID;ACRVALDAT;VALOBJTYPE;VALOBJ_ID;VALSOBJ_ID;NETDT;RISK_CLASS;ACDOC_EEW_DUMMY;ZZ1_ICNR_JEI;ZZKKBER;ZZUSPHASE;ZZPRJPHASE;ZZICNR;ZZSTAGE;DUMMY_INCL_EEW_COBL;OIHANTYP;OITAXGRP;OIEXGNUM;OIEXGTYP;OITAXQT;OIUOMQT;OITAXVAL;OIFULTAX;OITXVAL0;OITXVAL1;OITXVAL2;OITXVAL3;OITXVAL4;OITXVAL5;OITXVAL6;FUP_ACTION;SDM_VERSION;MIG_SOURCE;MIG_DOCLN;_DATAAGING
"010";"HO";"1O01";"2024";"0422023464";"000006";"2024";"";"0";"";"RMWL";"";"RMWL";"RMWL";"000";"MKPF";"";"2024";"4917670336";"000000";"000000";"000000";"";"";"";"";"";"";"000000";"000000";"";"";"";"";"";"";"000000";"000000";"00000000000000000000000000000000";"";"0000";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"000000";"000000";"";"";"EUR";"EUR";"EUR";"EUR";"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8100000000";"";"0000105050";"";"";"K001";"1000000000";"";"0000104200";"";"";"";"1000000000";"5650.81-";"5650.81-";"0.00 ";"0.00 ";"5650.81-";"5650.81-";"5650.81-";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.000 ";"H";"006";"K4";"2024006";"20240619";"20240619";"WL";"000";"003";"50";"";"01001";"000";"00000";"";"XGRIMOJ";"20240703091558 ";"";"35";"X";"OMVG";"T8100000";"OMVO";"";"";"";"";"";"";"";"";"0000";"000";"";"000";"";"";"00000";"00";"";"";"000000";"";"";"";"";"00000000";"00000000";"00000000";"";"20240619";"";"S";"";"";"";"";"";"00000000";"";"00000000";"";"0000";"00";"";"";"00000000";"";"";"000";"";"";"000";"";"";"";"";"";"";"00000000";"00000000";"";"0.00 ";"0.00 ";"";"000000000000";"";"";"";"";"";"0.0000000 ";"";"000000";"00000000";"";"";"";"";"0 ";"0 ";"0 ";"0 ";"";"";"000000000000";"000000000000";"";"000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"00000000";"0000000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00";"00000000";"";"00000000";"";"";"";"";"";"";"";"";"";"";"000000";"";"";"000000";"";"000000";"";"000000";"";"";"";"";"";"";"";"00";"00000000";"";"00000000";"";"";"000000";"0000000000";"";"";"";"";"";"";"000000";"";"";"";"000";"";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"";"";"00000000";"";"0000";"";"";"";"";"";"";"";"";"";"";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"00000000";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"000";"0000";"";"";"";"";"";"";"";"000";"";"";"";"";"";"";"00000000";"00000000";"00000000";"0.0000000 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"00000000";"";"";"";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.000 ";"";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"";"05";"";"";"00000000"
"010";"HO";"1O01";"2024";"0422023466";"000006";"2024";"";"0";"";"RMWL";"";"RMWL";"RMWL";"000";"MKPF";"";"2024";"4917670337";"000000";"000000";"000000";"";"";"";"";"";"";"000000";"000000";"";"";"";"";"";"";"000000";"000000";"00000000000000000000000000000000";"";"0000";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"000000";"000000";"";"";"EUR";"EUR";"EUR";"EUR";"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8100000000";"";"0000105050";"";"";"K001";"1000000000";"";"0000104200";"";"";"";"1000000000";"5650.81 ";"5650.81 ";"0.00 ";"0.00 ";"5650.81 ";"5650.81 ";"5650.81 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.000 ";"S";"006";"K4";"2024006";"20240619";"20240619";"WL";"000";"003";"40";"";"01001";"000";"00000";"";"XGRIMOJ";"20240703092816 ";"";"35";"X";"OMVG";"T8100000";"OMVO";"";"";"";"";"";"";"";"";"0000";"000";"";"000";"";"";"00000";"00";"";"";"000000";"";"";"";"";"00000000";"00000000";"00000000";"";"20240619";"";"S";"";"";"";"";"";"00000000";"";"00000000";"";"0000";"00";"";"";"00000000";"";"";"000";"";"";"000";"";"";"";"";"";"";"00000000";"00000000";"";"0.00 ";"0.00 ";"";"000000000000";"";"";"";"";"";"0.0000000 ";"";"000000";"00000000";"";"";"";"";"0 ";"0 ";"0 ";"0 ";"";"";"000000000000";"000000000000";"";"000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"00000000";"0000000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00";"00000000";"";"00000000";"";"";"";"";"";"";"";"";"";"";"000000";"";"";"000000";"";"000000";"";"000000";"";"";"";"";"";"";"";"00";"00000000";"";"00000000";"";"";"000000";"0000000000";"";"";"";"";"";"";"000000";"";"";"";"000";"";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"";"";"00000000";"";"0000";"";"";"";"";"";"";"";"";"";"";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"00000000";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"000";"0000";"";"";"";"";"";"";"";"000";"";"";"";"";"";"";"00000000";"00000000";"00000000";"0.0000000 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"00000000";"";"";"";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.000 ";"";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"";"05";"";"";"00000000"
"010";"HO";"1O01";"2024";"0410090384";"000006";"2024";"";"0";"";"RMWA";"";"RMWA";"RMWA";"000";"MKPF";"";"2024";"4916725795";"000000";"000000";"000000";"";"";"";"";"";"";"000000";"000000";"";"";"";"";"";"";"000000";"000000";"00000000000000000000000000000000";"";"0000";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"000000";"000000";"";"";"EUR";"EUR";"EUR";"EUR";"EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8100000000";"";"0000103100";"";"";"K001";"1000000000";"";"0000105050";"";"";"";"1000000000";"1954.45 ";"1954.45 ";"0.00 ";"0.00 ";"1954.45 ";"1954.45 ";"1954.45 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.000 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.000 ";"S";"005";"K4";"2024005";"20240506";"20240506";"WA";"000";"003";"40";"";"01001";"000";"00000";"";"XGRIMOJ";"20240522083853 ";"";"35";"X";"OMVG";"T8100000";"OMVO";"";"";"";"";"";"";"";"";"0000";"000";"";"000";"";"";"00000";"00";"";"";"000000";"";"";"";"";"00000000";"00000000";"00000000";"";"20240506";"";"S";"";"";"";"";"";"00000000";"";"00000000";"";"0000";"00";"";"";"00000000";"";"";"000";"";"";"000";"";"";"";"";"";"";"00000000";"00000000";"";"0.00 ";"0.00 ";"";"000000000000";"";"";"";"";"";"0.0000000 ";"";"000000";"00000000";"";"";"";"";"0 ";"0 ";"0 ";"0 ";"";"";"000000000000";"000000000000";"";"000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"00000000";"0000000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00";"00000000";"";"00000000";"";"";"";"";"";"";"";"";"";"";"000000";"";"";"000000";"";"000000";"";"000000";"";"";"";"";"";"";"";"00";"00000000";"";"00000000";"";"";"000000";"0000000000";"";"";"";"";"";"";"000000";"";"";"";"000";"";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"000";"";"";"00000000";"";"0000";"";"";"";"";"";"";"";"";"";"";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"00000000";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"000";"0000";"";"";"";"";"";"";"";"000";"";"";"";"";"";"";"00000000";"00000000";"00000000";"0.0000000 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"";"00000000";"";"";"";"";"";"";"00000000";"";"";"";"00000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.000 ";"";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"0.00 ";"";"05";"";"";"00000000"
